Registration Number,Annual Turnover
20218,37765463
20219,35593833
20220,36444632
20221,26619858
20222,23793179
20223,24960483
20224,27343998
20225,17877880
20226,39749029
20227,42228994
20228,34384767
20229,31532421
20230,27663089
20231,17830266
20232,39964484
20233,31552348
20234,47571729
20235,22716131
20236,23194737
20237,36623391
20238,19329263
20239,24978456
20240,45989081
20241,30075532
20242,26223431
20243,37153747
20244,17275191
20245,30043429
20246,20920518
20247,17329874
20248,35208104
20249,21182629
20250,31865985
20251,41445278
20252,40192911
20253,24493935
20254,42416573
20255,29720681
20256,24053182
20257,28666099
20258,33872039
20259,44035161
20260,18376290
20261,34043211
20262,15867677
20263,39304541
20264,24285614
20265,27163755
20266,22200016
20267,21882297
20268,29497592
20269,36283452
20270,30182884
20271,51188084
20272,31660767
20273,23879897
20274,28389658
20275,34726778
20276,32196192
20277,21553437
20278,29560396
20279,33074749
20280,39280069
20281,27542157
20282,33705766
20283,21606928
20284,22190495
20285,26961039
20286,33770771
20287,27356469
20288,27157103
20289,24484305
20290,33116716
20291,38725325
20292,29849221
20293,26731832
20294,30736062
20295,39439546
20296,21694213
20297,20893099
20298,23557811
20299,34283103
20300,22074705
20301,19043406
20302,39401217
20303,16228874
20304,24661112
20305,35802979
20306,30099325
20307,27609978
20308,15827335
20309,35122520
20310,31889868
20311,22295982
20312,36948993
20313,36251276
20314,19031453
20315,26835109
20316,22125616
20317,18017852
20318,22118281
20319,14881383
20320,19488190
20321,38503008
20322,29879067
20323,22812580
20324,46085918
20325,32133757
20326,29287910
20327,29378629
20328,14694739
20329,27818471
20330,37788715
20331,30115744
20332,36853263
20333,37223045
20334,53139618
20335,36396235
20336,35195019
20337,40943824
20338,26764770
20339,45211605
20340,32574027
20341,36656115
20342,20525743
20343,34335849
20344,23718307
20345,17691636
20346,40623438
20347,41264630
20348,28687456
20349,32032414
20350,20263118
20351,33393061
20352,26596838
20353,35928933
20354,22744085
20355,22775359
20356,25672519
20357,46684768
20358,40713011
20359,35465631
20360,28873527
20361,29638561
20362,23784970
20363,31116150
20364,38789411
20365,17137860
20366,29803455
20367,23936832
20368,32409373
20369,42281901
20370,41602497
20371,50888525
20372,37007118
20373,31557331
20374,15863767
20375,29229683
20376,23322167
20377,31289479
20378,34472444
20379,32082952
20380,33807956
20381,41206908
20382,23132181
20383,33308686
20384,55660599
20385,17814611
20386,28867281
20387,20289559
20388,17750469
20389,27196548
20390,50717990
20391,26788152
20392,43081561
20393,22672129
20394,14448830
20395,36241296
20396,30518832
20397,35003758
20398,31605927
20399,22567627
20400,33575955
20401,37775505
20402,32985706
20403,33010362
20404,19293589
20405,37394226
20406,48024373
20407,23779177
20408,18770241
20409,26178211
20410,27990288
20411,23691638
20412,29108559
20413,22422305
20414,22220395
20415,25825183
20416,33621909
20417,34731244
20418,27000110
20419,10252596
20420,34930606
20421,29392728
20422,35308112
20423,34620290
20424,36141796
20425,20577254
20426,28765009
20427,29312395
20428,37642026
20429,36309435
20430,23988525
20431,24673198
20432,15249129
20433,36260279
20434,21178443
20435,41353087
20436,35412564
20437,38318723
20438,32549371
20439,38601423
20440,26051458
20441,18737673
20442,34214973
20443,25740761
20444,29567434
20445,25788256
20446,20277454
20447,27148222
20448,26910968
20449,44119419
20450,31176501
20451,34417268
20452,14845995
20453,26240026
20454,33789660
20455,43565186
20456,17617890
20457,45937309
20458,30820035
20459,31009112
20460,22769952
20461,38526810
20462,21362536
20463,36461411
20464,27114732
20465,31395498
20466,37439526
20467,13961206
20468,17916111
20469,43326759
20470,20963526
20471,34517077
20472,31556285
20473,44498841
20474,20557251
20475,32413994
20476,21164306
20477,30981162
20478,43267163
20479,40421262
20480,25536737
20481,34464963
20482,36327429
20483,29506791
20484,33810380
20485,31302515
20486,11352485
20487,13003416
20488,27273582
20489,31782613
20490,18688539
20491,29311389
20492,33729992
20493,30559281
20494,29401640
20495,32857127
20496,36304777
20497,25943644
20498,33653187
20499,51786670
20500,33794680
